Gene_A	Gene_B	Score
GJA3	CALML5	0.514
GJA3	GJB3	0.54
GJA3	PAX6	0.564
GJA3	GJB4	0.744
GJA3	GJB2	0.957
TWIST1	DLX5	0.407
TWIST1	MMP1	0.415
TWIST1	MMP3	0.421
TWIST1	FOXM1	0.427
TWIST1	FOXD3	0.446
TWIST1	PAX3	0.455
TWIST1	HOXD10	0.457
TWIST1	HMGA2	0.49
TWIST1	BIRC5	0.577
TWIST1	SOX2	0.882
HOXC13	KRT31	0.404
HOXC13	KRT74	0.421
HOXC13	HOXC12	0.435
HOXC13	LHX2	0.47
HOXC13	DSG4	0.55
HOXC13	HOXC9	0.572
HOXC13	HOXC11	0.605
HOXC13	HOXC10	0.709
HOXC12	HOXA13	0.4
HOXC12	HOXC11	0.512
MAGEA9	MAGEA10	0.647
MAGEA9	MAGEA4	0.651
MAGEA10	MAGEA1	0.52
MAGEA10	PRAME	0.572
MAGEA10	CSAG1	0.58
MAGEA10	CSAG3	0.657
MAGEA10	MAGEA4	0.863
LYPD3	KRT5	0.42
LYPD3	SPRR1A	0.452
LYPD3	GPR87	0.496
H1-3	H3C8	0.445
H1-3	H2BC17	0.521
H1-3	H2BC8	0.543
H1-3	H3C7	0.548
H1-3	H2AC8	0.548
H1-3	H3C12	0.575
H1-3	H2BC7	0.577
H1-3	H3C2	0.607
H1-3	H2AC13	0.636
H1-3	H2BC9	0.639
H1-3	H4C5	0.776
H1-3	H1-5	0.911
KRT9	KRT34	0.433
KRT9	DSG3	0.455
KRT9	KRT31	0.468
KRT9	KRT17	0.494
KRT9	KRT16	0.547
KRT9	KRT6B	0.563
KRT9	HOXA13	0.577
DLGAP5	POLQ	0.431
DLGAP5	FAM72D	0.449
DLGAP5	FAM72C	0.454
DLGAP5	FAM72B	0.473
DLGAP5	E2F7	0.565
DLGAP5	TICRR	0.572
DLGAP5	NEIL3	0.672
DLGAP5	RAD54L	0.682
DLGAP5	PIMREG	0.726
DLGAP5	GTSE1	0.736
DLGAP5	MCM10	0.756
DLGAP5	TROAP	0.77
DLGAP5	EXO1	0.787
DLGAP5	SKA3	0.801
DLGAP5	SKA1	0.808
DLGAP5	KIF18B	0.818
DLGAP5	SGO1	0.849
DLGAP5	FOXM1	0.872
DLGAP5	DEPDC1B	0.878
DLGAP5	DEPDC1	0.881
DLGAP5	CDC25C	0.89
DLGAP5	CKAP2L	0.897
DLGAP5	CDCA2	0.898
DLGAP5	CDC45	0.921
DLGAP5	KIF14	0.933
DLGAP5	CENPA	0.945
DLGAP5	HJURP	0.946
DLGAP5	AURKB	0.95
DLGAP5	CDCA3	0.951
DLGAP5	KIF4A	0.962
DLGAP5	NEK2	0.963
DLGAP5	NUF2	0.964
DLGAP5	BIRC5	0.967
DLGAP5	UBE2C	0.968
DLGAP5	KIF2C	0.975
DLGAP5	TTK	0.977
DLGAP5	TPX2	0.978
DLGAP5	PBK	0.979
DLGAP5	CDC20	0.981
DLGAP5	BUB1B	0.981
DLGAP5	MELK	0.982
DLGAP5	ASPM	0.994
GNGT1	CNGB3	0.517
GNGT1	NMU	0.563
GNGT1	NPSR1	0.607
GNGT1	CACNA1B	0.689
GNGT1	GNG4	0.93
HOXD10	SERPINB4	0.438
HOXD10	HOXA13	0.456
HOXD10	HOXA10	0.507
HOXD10	HOXD12	0.58
HOXD10	HOXD13	0.808
HOXD10	HOXD11	0.999
HOXD11	HOXA13	0.413
HOXD11	H3C12	0.42
HOXD11	HOXA10	0.438
HOXD11	FOXD1	0.477
HOXD11	SALL1	0.592
HOXD11	HOXD13	0.788
PIMREG	NEIL3	0.413
PIMREG	SKA1	0.416
PIMREG	SGO1	0.433
PIMREG	SAPCD2	0.438
PIMREG	MCM10	0.444
PIMREG	EXO1	0.494
PIMREG	SKA3	0.504
PIMREG	FOXM1	0.507
PIMREG	KIF14	0.532
PIMREG	BUB1B	0.559
PIMREG	PBK	0.564
PIMREG	CKAP2L	0.571
PIMREG	CDC45	0.578
PIMREG	NEK2	0.586
PIMREG	CDC25C	0.593
PIMREG	TPX2	0.599
PIMREG	DEPDC1	0.612
PIMREG	GTSE1	0.623
PIMREG	TROAP	0.623
PIMREG	MELK	0.627
PIMREG	CDCA2	0.629
PIMREG	ASPM	0.63
PIMREG	UBE2C	0.65
PIMREG	KIF2C	0.676
PIMREG	TTK	0.683
PIMREG	KIF4A	0.687
PIMREG	BIRC5	0.689
PIMREG	NUF2	0.698
PIMREG	HJURP	0.71
PIMREG	CDC20	0.734
PIMREG	AURKB	0.737
PIMREG	CDCA3	0.834
PIMREG	CENPA	0.863
SALL1	OTX2	0.41
SALL1	PITX2	0.428
SALL1	PAX3	0.444
SALL1	TLX1	0.459
SALL1	FOXD1	0.488
SALL1	HOXD12	0.542
SALL1	SHOX2	0.612
SALL1	NKX2-5	0.622
SALL1	NKX3-2	0.653
SALL1	SOX2	0.891
KRT31	KRT17	0.428
KRT31	KRT16	0.444
KRT31	KRT34	0.527
KRT31	DSG4	0.53
KRT31	KRT6A	0.732
KRT5	MAGEA4	0.407
KRT5	TNS4	0.411
KRT5	S100A7	0.419
KRT5	UPK1B	0.425
KRT5	KRT77	0.441
KRT5	KRT74	0.445
KRT5	KLK6	0.454
KRT5	SPRR1B	0.477
KRT5	FAT2	0.488
KRT5	KRT75	0.49
KRT5	KRT78	0.492
KRT5	DSG1	0.494
KRT5	CLCA2	0.504
KRT5	GJB5	0.506
KRT5	SERPINB13	0.516
KRT5	COL7A1	0.53
KRT5	SERPINB5	0.618
KRT5	LGALS7	0.62
KRT5	IVL	0.642
KRT5	CALML3	0.647
KRT5	DSG3	0.649
KRT5	S100A2	0.672
KRT5	SOX2	0.673
KRT5	DSC3	0.706
KRT5	KRT6C	0.723
KRT5	KRT3	0.775
KRT5	COL17A1	0.799
KRT5	TRIM29	0.802
KRT5	PKP1	0.835
KRT5	KRT16	0.861
KRT5	KRT6B	0.861
KRT5	KRT17	0.866
KRT5	KRT6A	0.915
KRT75	RDM1	0.401
KRT75	KRT17	0.422
KRT75	KRT77	0.429
KRT75	KRT78	0.445
KRT75	KRT16	0.458
KRT75	KRT6C	0.469
KRT75	KRT74	0.488
KRT75	KRT6A	0.505
KRT75	KRT3	0.52
KRT75	KRT6B	0.555
KRT75	KRT34	0.717
KRT6C	DSG1	0.416
KRT6C	SPRR2D	0.416
KRT6C	SERPINB3	0.429
KRT6C	KRT3	0.43
KRT6C	KRT74	0.432
KRT6C	S100A7	0.464
KRT6C	SPRR3	0.465
KRT6C	SPRR2A	0.472
KRT6C	SPRR2E	0.48
KRT6C	KRT78	0.498
KRT6C	KRT16	0.502
KRT6C	SERPINB13	0.503
KRT6C	KRT77	0.58
KRT6C	SPRR1B	0.648
KRT6C	KRT6A	0.71
KRT6C	KRT6B	0.772
KRT6B	TMPRSS11D	0.414
KRT6B	S100A7A	0.415
KRT6B	IVL	0.422
KRT6B	SPRR2E	0.432
KRT6B	KRT3	0.432
KRT6B	KRT74	0.433
KRT6B	COL17A1	0.439
KRT6B	KRT77	0.447
KRT6B	RHCG	0.448
KRT6B	CLCA2	0.458
KRT6B	KRT78	0.495
KRT6B	DSG1	0.499
KRT6B	KLK8	0.508
KRT6B	SPRR2D	0.509
KRT6B	DSC3	0.535
KRT6B	S100A2	0.539
KRT6B	KLK6	0.542
KRT6B	SERPINB3	0.543
KRT6B	SPRR2A	0.544
KRT6B	TRIM29	0.545
KRT6B	SERPINB5	0.552
