from	to	score
FGF20	IGF1R	0.000855
FGF20	MET	0.000865
FGF20	HGF	0.000867
FGF20	FLT1	0.000873
FGF20	CD44	0.000887
FGF20	NTRK1	0.000888
FGF20	PDGFRB	0.000893
FGF20	KLB	0.000905
FGF20	FLT4	0.00091
FGF20	EGFR	0.000927
FGF20	KDR	0.000928
FGF20	FGFBP1	0.000945
FGF20	FGFR3	0.000971
FGF20	EGF	0.000988
FGF20	FGFR4	0.000993
FGF20	FGFR2	0.000997
FGF20	FGFR1	0.000999
CPB2	RARRES2	0.000403
CPB2	HP	0.000407
CPB2	C8G	0.000409
CPB2	C1R	0.000411
CPB2	C9	0.000418
CPB2	MMP9	0.000418
CPB2	APOC3	0.000424
CPB2	PRSS1	0.000425
CPB2	C1S	0.000428
CPB2	C4BPA	0.000435
CPB2	VTN	0.000436
CPB2	F2R	0.000437
CPB2	HPR	0.00045
CPB2	SERPING1	0.000461
CPB2	CTRB1	0.000465
CPB2	APOA2	0.000467
CPB2	C4BPB	0.000469
CPB2	ITIH3	0.00048
CPB2	ALB	0.000483
CPB2	CPM	0.000493
CPB2	CRP	0.000505
CPB2	SERPINA10	0.000507
CPB2	SERPINA5	0.000507
CPB2	C2	0.000514
CPB2	ITIH2	0.000523
CPB2	CFI	0.000526
CPB2	KLKB1	0.00053
CPB2	MBL2	0.000537
CPB2	ADAMTS13	0.000537
CPB2	C8A	0.000549
CPB2	APOB	0.000558
CPB2	MASP1	0.000588
CPB2	AGT	0.000591
CPB2	C4A	0.000601
CPB2	F8	0.000603
CPB2	F13B	0.000607
CPB2	APCS	0.000612
CPB2	FGB	0.000616
CPB2	VWF	0.000617
CPB2	F9	0.000644
CPB2	CFH	0.000668
CPB2	MASP2	0.000668
CPB2	F10	0.000677
CPB2	FGA	0.000684
CPB2	TFPI	0.000688
CPB2	C8B	0.000716
CPB2	F3	0.000719
CPB2	HRG	0.000732
CPB2	KLK4	0.000733
CPB2	PLAU	0.000735
CPB2	APOH	0.000747
CPB2	PROC	0.000753
CPB2	F11	0.000763
CPB2	F7	0.000763
CPB2	SERPIND1	0.000764
CPB2	SERPINC1	0.000766
CPB2	SERPINE1	0.000774
CPB2	FGG	0.000785
CPB2	KNG1	0.000791
CPB2	A2M	0.000805
CPB2	C3	0.000807
CPB2	CPN1	0.000811
CPB2	SERPINF1	0.000819
CPB2	CPE	0.000846
CPB2	C5	0.000847
CPB2	SERPINF2	0.000895
CPB2	PLAT	0.00092
CPB2	CPB1	0.000942
CPB2	THBD	0.000958
CPB2	PLG	0.000984
CPB2	F2	0.000992
HBQ1	TMOD1	0.000402
HBQ1	GYPE	0.000409
HBQ1	HPR	0.000411
HBQ1	BPGM	0.000451
HBQ1	TRIM58	0.000486
HBQ1	CA1	5e-04
HBQ1	GYPB	0.000558
HBQ1	HEMGN	0.000566
HBQ1	CYB5R3	0.000576
HBQ1	ENSP00000496470	0.000585
HBQ1	SLC25A37	0.000591
HBQ1	SNCA	0.000603
HBQ1	NPRL3	0.000644
HBQ1	KLF1	0.000652
HBQ1	GATA1	0.000656
HBQ1	HBA1	0.000666
HBQ1	SLC4A1	0.000699
HBQ1	HP	0.000718
HBQ1	ALAS2	0.000795
HBQ1	HBA2	0.000828
HBQ1	HBG1	0.000847
HBQ1	HBZ	0.000854
HBQ1	LUC7L	0.000855
